campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,net_profit,start_year,start_month,start_quarter,roi_category,conversion_category,cost_per_conversion,high_budget_flag,high_roi_flag
public-key multi-tasking throughput,2023-04-01,2024-02-23,8082.3,86.8,email,B2B,organic,0.4,709593.48,701511.1799999999,2023,4,2,High,Low,0.028475106620201755,0,1
de-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,28.17,email,B2C,promotion,0.66,516609.1,498896.12,2023,2,1,High,Medium,0.0519500111106221,0,1
balanced solution-oriented local area network,2022-12-20,2023-10-11,84643.1,4.41,podcast,B2B,paid,0.28,458227.42,373584.31999999995,2022,12,4,High,Low,0.6597090713477725,1,1
distributed real-time methodology,2022-09-26,2023-09-27,14589.75,5.17,webinar,B2B,organic,0.19,89958.73,75368.98,2022,9,3,High,Very Low,0.8535931742782145,0,1
front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.21,social media,B2B,promotion,0.81,47511.35,8219.449999999997,2023,7,3,Low,High,1.020988006413594,0,0
upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,6.39,social media,B2C,referral,0.67,558302.11,482732.82999999996,2023,6,2,High,Medium,0.20202318445340234,1,1
innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,4.97,email,B2C,referral,0.17,172882.59,143918.13999999998,2023,3,1,High,Very Low,0.9855192338746129,0,1
user-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,4.6,webinar,B2C,promotion,0.52,206241.46,169440.88,2023,1,1,High,Medium,0.34314315925539973,0,1
proactive neutral methodology,2022-09-06,2024-01-11,40493.88,17.14,webinar,B2C,organic,0.47,734755.76,694261.88,2022,9,3,High,Low,0.1172596339896154,0,1
intuitive responsive support,2022-11-25,2024-04-04,1816.22,309.14,social media,B2C,referral,0.85,563280.3,561464.0800000001,2022,11,4,High,High,0.0037933679054011045,0,1
multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,3.32,podcast,B2B,referral,0.23,406522.77,312438.56,2023,6,2,High,Low,1.0062456836272557,1,1
cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,1.72,social media,B2B,promotion,0.55,174462.47,110421.1,2023,7,3,High,Medium,0.6674149147690879,1,1
networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,12.78,social media,B2B,organic,0.95,680416.9,631041.0900000001,2023,3,1,High,High,0.07638631086633102,1,1
optional actuating standardization,2023-07-04,2024-05-06,14810.62,31.24,webinar,B2B,referral,0.45,477528.27,462717.65,2023,7,3,High,Low,0.0689225977948675,0,1
innovative web-enabled function,2022-11-05,2023-09-05,36848.3,-0.89,webinar,B2C,referral,0.1,4190.95,-32657.350000000002,2022,11,4,Negative,Very Low,87.92350183132703,0,0
configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.08,email,B2B,referral,0.92,23176.85,1666.4199999999983,2023,3,1,Low,High,1.0088041374868908,0,0
cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,2.88,podcast,B2C,paid,0.65,386133.95,286613.02,2022,9,3,High,Medium,0.39651815924738826,1,1
intuitive didactic installation,2023-06-24,2024-03-27,19213.46,47.16,email,B2B,organic,0.96,925274.53,906061.0700000001,2023,6,2,High,High,0.02163035962238508,0,1
fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,25.21,email,B2B,promotion,0.79,460559.74,442986.51,2023,7,3,High,Medium,0.048299043543642915,0,1
de-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,10.53,email,B2C,promotion,0.1,292885.55,267489.14999999997,2022,9,3,High,Very Low,0.8671100366679066,0,1
managed upward-trending website,2023-02-07,2024-02-07,34644.22,12.83,podcast,B2B,referral,0.72,478980.33,444336.11,2023,2,1,High,Medium,0.10045709439095801,0,1
self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,15.16,webinar,B2B,organic,0.91,974038.96,913764.37,2023,4,2,High,High,0.0680011949283971,1,1
cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,4.47,email,B2B,promotion,0.96,435524.36,355843.74,2023,1,1,High,High,0.19057635681580093,1,1
