Campaign Name,Start Date,End Date,Budget,ROI,Type,Target Audience,Channel,Conversion Rate,Revenue,Net Profit,Start Year,Start Month,Start Quarter,ROI Category,Conversion Category,Cost Per Conversion,High Budget Flag,High Roi Flag
Public-Key Multi-Tasking Throughput,2023-04-01,2024-02-23,8082.3,86.8,Email,B2B,Organic,0.4,709593.48,701511.18,2023,4,2,High,Low,0.03,0,1
De-Engineered Analyzing Task-Force,2023-02-15,2024-04-22,17712.98,28.17,Email,B2C,Promotion,0.66,516609.1,498896.12,2023,2,1,High,Medium,0.05,0,1
Balanced Solution-Oriented Local Area Network,2022-12-20,2023-10-11,84643.1,4.41,Podcast,B2B,Paid,0.28,458227.42,373584.32,2022,12,4,High,Low,0.66,1,1
Distributed Real-Time Methodology,2022-09-26,2023-09-27,14589.75,5.17,Webinar,B2B,Organic,0.19,89958.73,75368.98,2022,9,3,High,Very Low,0.85,0,1
Front-Line Executive Infrastructure,2023-07-07,2024-05-15,39291.9,0.21,Social Media,B2B,Promotion,0.81,47511.35,8219.45,2023,7,3,Low,High,1.02,0,0
Upgradable Transitional Data-Warehouse,2023-06-29,2023-12-13,75569.28,6.39,Social Media,B2C,Referral,0.67,558302.11,482732.83,2023,6,2,High,Medium,0.2,1,1
Innovative Context-Sensitive Framework,2023-03-01,2024-02-23,28964.45,4.97,Email,B2C,Referral,0.17,172882.59,143918.14,2023,3,1,High,Very Low,0.99,0,1
User-Friendly Client-Driven Service-Desk,2023-01-06,2023-12-11,36800.58,4.6,Webinar,B2C,Promotion,0.52,206241.46,169440.88,2023,1,1,High,Medium,0.34,0,1
Proactive Neutral Methodology,2022-09-06,2024-01-11,40493.88,17.14,Webinar,B2C,Organic,0.47,734755.76,694261.88,2022,9,3,High,Low,0.12,0,1
Intuitive Responsive Support,2022-11-25,2024-04-04,1816.22,309.14,Social Media,B2C,Referral,0.85,563280.3,561464.08,2022,11,4,High,High,0.0,0,1
Multi-Lateral Dedicated Workforce,2023-06-15,2024-06-15,94084.21,3.32,Podcast,B2B,Referral,0.23,406522.77,312438.56,2023,6,2,High,Low,1.01,1,1
